sku,name,category,type,short_description,description,specs,brand,pack_size,image,featured,keywords
BV-SC-SERIES,BaseVac SC-Series Custom Silent Oil-Free Compressor (20+ Users),Utility Room Equipment,Custom Oil-Free Compressor System,Custom large-facility silent oil-free compressor systems for 20+ users; configured to spec.,"Custom, large-facility oil-free silent compressor systems for practices and institutions of 20+ users. Built on BaseVac's proven large-facility engineering to provide a customized mechanical-room solution that balances air and vacuum for the most demanding applications. Configured to each site's requirements. Available models: SC8, SC10, SC15, SC20, SC25. Contact for sizing and a quote.",SC-Series custom line (20+ users); models SC8 / SC10 / SC15 / SC20 / SC25; 100% oil-free silent design; configure-to-order — HP/CFM/electrical per selected model spec sheet (e.g. basevacdental.com/s/BV-01SC10-Custom-Silent-Compressor.pdf),BaseVac Dental,1 system (configured),BV-SC-SERIES.jpg,,"dental air compressor, oil-free compressor, oil-less compressor, dry dental air, Perma Dry desiccant dryer, BaseVac, SC-Series, SC8, SC10, SC15, SC20, SC25, large facility, 20+ users, custom compressor, mechanical room"
BV-1HD4,BaseVac 1HD Dry Vacuum System (up to 4 Users),Utility Room Equipment,Modular Dry Vacuum System,"Single-pump 100% dry vacuum system with 12-gal air/water separator, up to 4 users.","100% oil- and water-free dry vacuum system for clinics of up to 4 users. Industry-leading adjustable suction from 10-25"" Hg suits surgical and multi-specialty use, and the system works with 1"" diameter or smaller pipe so it can replace old wet systems without re-plumbing. Modular and upgradable to 16 users by adding motor units and tank extensions. Package includes one dry vacuum unit, 12-gal air/water separator with auto-drain and overflow protection, NEMA-rated control panel with vacuum gauge/hour meter/start-stop, remote-start capability, exhaust kit with dual drip-leg, and adjustable bypass vacuum regulator.","Model 1HD4 (Part 2800005); Max 4 users; Suction 10-25"" Hg; 2 HP; 10.5 A; 230V 1-Phase (207-253V); 72 dB; 28""x18""x19""; 130 lbs; optional 3-phase 230/460/575V; pump variants 1HD4.25P / 1HD4.40P; spec sheets: basevacdental.com/s/BV-01280000401Prod-Spec-Sheet-1HD425P.pdf",BaseVac Dental,1 system,BV-1HD4.jpg,,"dental vacuum, dry vacuum, oil-free suction, dental suction system, BaseVac, 1HD, HD series, modular vacuum, 4 users, air water separator, NEMA control panel"
BV-2HD4,BaseVac 2HD Dry Vacuum System (up to 8 Users),Utility Room Equipment,Modular Dry Vacuum System,"Dual-pump 100% dry vacuum system with 12-gal air/water separator, up to 8 users.","The dry vacuum system that changed how dentists think about suction. Dual-pump 100% oil- and water-free system for clinics of up to 8 users, with industry-leading adjustable suction of 10-25"" Hg for surgical and multi-specialty applications. Works with 1"" diameter or smaller pipe for easy retrofits and is modular and upgradable to 16 users. Package includes two dry vacuum units, 12-gal air/water separator with auto-drain and overflow protection, NEMA-rated control panel, remote-start capability, exhaust kit with dual drip-leg, and adjustable bypass vacuum regulator.","Model 2HD4 (Part 2800006); Max 8 users; Suction 10-25"" Hg; 4 HP; 10.5 A; 230V 1-Phase (207-253V); 72 dB; 16.5""x16.5""x31.5""; 260 lbs; optional 3-phase 230/460/575V; pump variants 2HD4.25P / 2HD4.40P; spec sheets: basevacdental.com/s/BV-01280001201Prod-Spec-Sheet-2HD425P.pdf",BaseVac Dental,1 system,BV-2HD4.jpg,,"dental vacuum, dry vacuum, oil-free suction, dental suction system, BaseVac, 2HD, HD series, dual pump, 8 users, air water separator, NEMA control panel, surgical suction"
BV-3HD4,BaseVac 3HD Dry Vacuum System (12 Users),Utility Room Equipment,Modular Dry Vacuum System,"Triple-pump 100% dry vacuum system with 12-gal air/water separator, up to 12 users.","High-capacity triple-pump 100% oil- and water-free dry vacuum system for clinics of up to 12 users. Delivers industry-leading adjustable suction of 10-25"" Hg for surgical and multi-specialty use and works with 1"" diameter or smaller pipe for straightforward retrofits. Modular and upgradable to 16 users. Package includes three dry vacuum units, 12-gal air/water separator with auto-drain and overflow protection, NEMA-rated control panel, remote-start capability, exhaust kit with dual drip-leg, and adjustable bypass vacuum regulator.","Model 3HD4 (Part 2800030); 12 users; Suction 10-25"" Hg; 6 HP; 10.5 A; 230V 1-Phase (207-253V); 74 dB; 16.5""x16.5""x57""; 390 lbs; optional 3-phase 230/460/575V; pump variant 3HD4.40P; spec sheet: basevacdental.com/s/BV-01280003001Prod-Spec-Sheet-3HD440.pdf",BaseVac Dental,1 system,BV-3HD4.jpg,,"dental vacuum, dry vacuum, oil-free suction, dental suction system, BaseVac, 3HD, HD series, triple pump, 12 users, large clinic, air water separator, surgical suction"
BV-D15,BaseVac D1.5 Oil-Free Compressor (6 Users),Utility Room Equipment,Oil-Free Piston Compressor,"100% oil-free tandem piston dental compressor with Perma Dry desiccant dryer, up to 6 users.","100% oil-free dental air compressor for mid-size clinics of up to 6 users. Heavy-duty block, durable cast cylinders, forged steel connecting rods and precision-machined aluminum pistons deliver long service life, while BaseVac's patented Perma Dry self-purging desiccant dryer provides consistent, high-quality dry dental air. Low-maintenance, energy-efficient and built for years of reliable operation.","Model D1.5 (Part 2880116); Up to 6 users; 3.0 HP; 10 CFM @ 80 PSI; 20 Gal tank; 220V/1/60Hz/17A; 72 dB; 35""x24""x36""; 231 lbs; spec sheet: basevacdental.com/s/BV-0063_D15-Compressor.pdf",BaseVac Dental,1 unit,BV-D15.jpg,,"dental air compressor, oil-free compressor, oil-less compressor, dry dental air, Perma Dry desiccant dryer, BaseVac, D-Series, D1.5, 6 users, tandem compressor, mid-size clinic"
BV-D20,BaseVac D2.0 Oil-Free Compressor (8 Users),Utility Room Equipment,Oil-Free Piston Compressor,"100% oil-free tandem piston dental compressor with Perma Dry desiccant dryer, up to 8 users.","100% oil-free dental air compressor for clinics of up to 8 users. Heavy-duty block, durable cast cylinders, forged steel connecting rods and precision-machined aluminum pistons deliver longevity, and BaseVac's patented Perma Dry self-purging desiccant dryer ensures consistent, high-quality dry dental air. Robust motor and integrated filtration provide stable performance through long clinical days with minimal maintenance.","Model D2.0 (Part 2880111); Up to 8 users; 4.0 HP; 14 CFM @ 80 PSI; 20 Gal tank; 220V/1/60Hz/18A; 74 dB; 35""x24""x36""; 242 lbs; spec sheet: basevacdental.com/s/BV-0073_D20-Compressor.pdf",BaseVac Dental,1 unit,BV-D20.jpg,,"dental air compressor, oil-free compressor, oil-less compressor, dry dental air, Perma Dry desiccant dryer, BaseVac, D-Series, D2.0, 8 users, tandem compressor, multi-chair practice"
BV-S15,BaseVac S1.5 Oil-Free Compressor (3 Users),Utility Room Equipment,Oil-Free Piston Compressor,"100% oil-free piston dental compressor with Perma Dry desiccant dryer, up to 3 users.","100% oil-free reciprocating dental air compressor built for years of reliable service. Heavy-duty block with durable cast cylinders, forged steel connecting rods and precision-machined aluminum pistons for longevity, paired with BaseVac's patented Perma Dry self-purging desiccant dryer and a fan-cooled heat exchanger that pre-cools and removes moisture for consistent, high-quality dry dental air. Energy efficient and easy to service. Optional sound enclosure reduces noise by ~20 dB (order at initial purchase; cannot be retrofitted).","Model S1.5 (Part 2880106); Up to 3 users; 1.5 HP; 5 CFM @ 80 PSI; 13 Gal tank; 220V/1/60Hz/8.5A; 72 dB; 25""x22""x28""; 132 lbs; optional sound enclosure; 115V variant S1.5-115 available; spec sheet: basevacdental.com/s/BV-01S15.pdf",BaseVac Dental,1 unit,BV-S15.jpg,,"dental air compressor, oil-free compressor, oil-less compressor, dry dental air, Perma Dry desiccant dryer, BaseVac, S-Series, S1.5, 3 users, small clinic, piston compressor, sound enclosure"
BV-S20,BaseVac S2.0 Oil-Free Compressor (4 Users),Utility Room Equipment,Oil-Free Piston Compressor,"100% oil-free piston dental compressor with Perma Dry desiccant dryer, up to 4 users.","100% oil-free reciprocating dental air compressor with a heavy-duty block, cast cylinders, forged steel connecting rods and precision-machined aluminum pistons. BaseVac's patented Perma Dry self-purging desiccant dryer plus fan-cooled heat exchanger deliver consistent, high-quality dry dental air. Energy efficient, low-maintenance and easy to service. Optional sound enclosure reduces noise by ~20 dB (order at initial purchase; cannot be retrofitted).","Model S2.0 (Part 2880109); Up to 4 users; 2.0 HP; 6.5 CFM @ 80 PSI; 13 Gal tank; 220V/1/60Hz/9A; 74 dB; 24""x23""x30""; 154 lbs; optional sound enclosure; spec sheet: basevacdental.com/s/BV-01S20.pdf",BaseVac Dental,1 unit,BV-S20.jpg,,"dental air compressor, oil-free compressor, oil-less compressor, dry dental air, Perma Dry desiccant dryer, BaseVac, S-Series, S2.0, 4 users, piston compressor, sound enclosure"
BV-S20E,BaseVac S2.0E Quiet Oil-Free Compressor (4 Users),Utility Room Equipment,Oil-Free Piston Compressor (Enclosed),"Ultra-quiet enclosed 100% oil-free piston compressor with Perma Dry dryer, up to 4 users.","Ultra-quiet enclosed version of BaseVac's 2.0 HP oil-free dental compressor, running at just 54 dB thanks to its integrated sound enclosure. Same 100% oil-free reciprocating design with heavy-duty block, cast cylinders, forged steel connecting rods, precision-machined aluminum pistons and the patented Perma Dry self-purging desiccant dryer for consistent, high-quality dry dental air. Ideal where noise is a concern.","Model S2.0E (Part 2880110); Up to 4 users; 2.0 HP; 6.5 CFM @ 80 PSI; 13 Gal tank; 220V/1/60Hz/9A; 54 dB (enclosed); 24""x23""x30""; 216 lbs; integrated sound enclosure; spec sheet: basevacdental.com/s/BV-01S20E.pdf",BaseVac Dental,1 unit,BV-S20E.jpg,,"dental air compressor, oil-free compressor, oil-less compressor, dry dental air, Perma Dry desiccant dryer, BaseVac, S-Series, S2.0E, quiet compressor, enclosed, 54 dB, 4 users"
BV-BVA12,BaseVac Air BVA12 Oil-Free Compressor (Silent),Utility Room Equipment,Oil-Free Piston Compressor (Silent),Silent 100% oil-free BVA12 dental compressor with dual-chamber Perma Dry dryer.,"Part of BaseVac's new-generation BaseVac Air line — among the quietest oil-free compressors in the industry, using Sound Shield technology. 100% oil-free design with a dual-chamber Perma Dry self-purging desiccant dryer and oversized cooling towers for consistent, high-quality dry dental air, built to BaseVac's reliable, robust standard. Detailed performance figures are on the model spec sheet.",Model BVA12; BaseVac Air line (3-20 users across the range); 100% oil-free; dual-chamber Perma Dry desiccant dryer; Sound Shield low-noise design. Detailed HP/CFM/electrical on spec sheet: basevacdental.com/s/BV-03BVA1205-Prod-Spec-Sheet.pdf,BaseVac Dental,1 unit,BV-BVA12.jpg,,"dental air compressor, oil-free compressor, oil-less compressor, dry dental air, Perma Dry desiccant dryer, BaseVac, BaseVac Air, BVA12, silent compressor, Sound Shield, low noise"
BV-BVA18,BaseVac Air BVA18 Oil-Free Compressor (Silent),Utility Room Equipment,Oil-Free Piston Compressor (Silent),Silent 100% oil-free BVA18 dental compressor with dual-chamber Perma Dry dryer.,"Part of BaseVac's new-generation BaseVac Air line — among the quietest oil-free compressors in the industry, using Sound Shield technology. 100% oil-free design with a dual-chamber Perma Dry self-purging desiccant dryer and oversized cooling towers for consistent, high-quality dry dental air, built to BaseVac's reliable, robust standard. Detailed performance figures are on the model spec sheet.",Model BVA18; BaseVac Air line (3-20 users across the range); 100% oil-free; dual-chamber Perma Dry desiccant dryer; Sound Shield low-noise design. Note: largest model in the BaseVac Air line. Detailed HP/CFM/electrical on spec sheet: basevacdental.com/s/BV-03BVA1805-Prod-Spec-Sheet.pdf,BaseVac Dental,1 unit,BV-BVA18.jpg,,"dental air compressor, oil-free compressor, oil-less compressor, dry dental air, Perma Dry desiccant dryer, BaseVac, BaseVac Air, BVA18, silent compressor, Sound Shield, low noise"
BV-BVA4,BaseVac Air BVA4 Oil-Free Compressor (Silent),Utility Room Equipment,Oil-Free Piston Compressor (Silent),Silent 100% oil-free BVA4 dental compressor with dual-chamber Perma Dry dryer.,"Part of BaseVac's new-generation BaseVac Air line — among the quietest oil-free compressors in the industry, using Sound Shield technology. 100% oil-free design with a dual-chamber Perma Dry self-purging desiccant dryer and oversized cooling towers for consistent, high-quality dry dental air, built to BaseVac's reliable, robust standard. Detailed performance figures are on the model spec sheet.",Model BVA4; BaseVac Air line (3-20 users across the range); 100% oil-free; dual-chamber Perma Dry desiccant dryer; Sound Shield low-noise design. Note: entry model in the BaseVac Air line; 115V variant BVA4-115 also available. Detailed HP/CFM/electrical on spec sheet: basevacdental.com/s/BV-02BVA4Prod-Spec-Sheet-xa4j.pdf,BaseVac Dental,1 unit,BV-BVA4.jpg,yes,"dental air compressor, oil-free compressor, oil-less compressor, dry dental air, Perma Dry desiccant dryer, BaseVac, BaseVac Air, BVA4, silent compressor, Sound Shield, low noise"
BV-BVA6,BaseVac Air BVA6 Oil-Free Compressor (Silent),Utility Room Equipment,Oil-Free Piston Compressor (Silent),Silent 100% oil-free BVA6 dental compressor with dual-chamber Perma Dry dryer.,"Part of BaseVac's new-generation BaseVac Air line — among the quietest oil-free compressors in the industry, using Sound Shield technology. 100% oil-free design with a dual-chamber Perma Dry self-purging desiccant dryer and oversized cooling towers for consistent, high-quality dry dental air, built to BaseVac's reliable, robust standard. Detailed performance figures are on the model spec sheet.",Model BVA6; BaseVac Air line (3-20 users across the range); 100% oil-free; dual-chamber Perma Dry desiccant dryer; Sound Shield low-noise design. Note: mid-range model; BVA6-X variant also available. Detailed HP/CFM/electrical on spec sheet: basevacdental.com/s/BV-03BVA605-Prod-Spec-Sheet-6t94.pdf,BaseVac Dental,1 unit,BV-BVA6.jpg,,"dental air compressor, oil-free compressor, oil-less compressor, dry dental air, Perma Dry desiccant dryer, BaseVac, BaseVac Air, BVA6, silent compressor, Sound Shield, low noise"
BV-BVA8,BaseVac Air BVA8 Oil-Free Compressor (Silent),Utility Room Equipment,Oil-Free Piston Compressor (Silent),Silent 100% oil-free BVA8 dental compressor with dual-chamber Perma Dry dryer.,"Part of BaseVac's new-generation BaseVac Air line — among the quietest oil-free compressors in the industry, using Sound Shield technology. 100% oil-free design with a dual-chamber Perma Dry self-purging desiccant dryer and oversized cooling towers for consistent, high-quality dry dental air, built to BaseVac's reliable, robust standard. Detailed performance figures are on the model spec sheet.",Model BVA8; BaseVac Air line (3-20 users across the range); 100% oil-free; dual-chamber Perma Dry desiccant dryer; Sound Shield low-noise design. Detailed HP/CFM/electrical on spec sheet: basevacdental.com/s/BV-03BVA805Prod-Spec-Sheet.pdf,BaseVac Dental,1 unit,BV-BVA8.jpg,,"dental air compressor, oil-free compressor, oil-less compressor, dry dental air, Perma Dry desiccant dryer, BaseVac, BaseVac Air, BVA8, silent compressor, Sound Shield, low noise"
BV-SCH-SERIES,BaseVac SCH-Series Lab/Milling Scroll Compressor,Utility Room Equipment,Oil-Free Scroll Compressor (Lab/Milling),Oil-free scroll compressors for lab and milling applications; high air flow at high pressure.,"State-of-the-art oil-free scroll compressors engineered for dental lab and milling applications where high air flow at high pressure is required. Advanced scroll technology ensures smooth, quiet operation with minimal maintenance, optimized energy consumption and exceptional durability — supporting milling air demand more reliably than traditional dental compressors. Available models: SCH3, SCH5, SCH8, SCH10. Contact for sizing and a quote.","SCH-Series lab/milling line; models SCH3 / SCH5 / SCH8 / SCH10; oil-free scroll technology; high-pressure, high-flow; configure-to-order — specs per selected model spec sheet (e.g. basevacdental.com/s/BV-01SC10H-Lab-CompressorProd-Spec-Sheet-9p37.pdf)",BaseVac Dental,1 unit (configured),BV-SCH-SERIES.jpg,,"dental air compressor, oil-free compressor, oil-less compressor, dry dental air, Perma Dry desiccant dryer, BaseVac, SCH-Series, scroll compressor, lab compressor, milling compressor, CAD CAM, high pressure"
BV-BVM1,BaseVac M-Vac BVM1 Dry Vacuum (1.5 Users),Utility Room Equipment,Rotary Vane Dry Vacuum,Compact all-in-one dry vacuum with built-in air/water separator for up to 1.5 users / 2 operatories.,"Compact, integrated 100% dry dental vacuum designed as a plug-and-play replacement for wet ring pumps in smaller clinics. Uses dependable, efficient and quiet rotary vane technology and includes a built-in air/water separator. Delivers the same industry-leading suction found on BaseVac's large custom systems in a low-profile cabinet at only 30"" tall and 17"" wide. Set-and-forget operation with easy service access.","Model 2M4.16-220; Max 1.5 HV users / 2 operatories; 0.94 HP; 5.2 A; 220V 1-Phase; 65 dB; 17""x17""x30""; 86 lbs; built-in air/water separator; inlet 1.50"" hose barb, drain 1.50"" plastic pipe; spec sheet: basevacdental.com/s/BV-01280002301Prod-Spec-Sheet-2M416.pdf",BaseVac Dental,1 system,BV-BVM1.jpg,,"dental vacuum, dry vacuum, oil-free suction, dental suction system, BaseVac, M-Vac, BVM1, 1-2 operatories, small clinic, rotary vane, built-in separator"
BV-BVM2,BaseVac M-Vac BVM2 Dry Vacuum (2.5 Users),Utility Room Equipment,Rotary Vane Dry Vacuum,Compact all-in-one dry vacuum with built-in air/water separator for up to 2.5 users / 3 operatories.,"Compact, integrated 100% dry dental vacuum designed as a plug-and-play replacement for wet ring pumps in smaller clinics. Uses dependable, efficient and quiet rotary vane technology and includes a built-in air/water separator. Provides BaseVac's industry-leading suction in a compact, low-profile footprint with easy service access and built-in remote start capability (remote switch not included).","Model 2M4.25-220; Max 2.5 HV users / 3 operatories; 1.2 HP; 8.8 A; 220V 1-Phase; 67 dB; 17""x17""x39""; 98 lbs; built-in air/water separator; inlet 1.50"" hose barb, drain 1.50"" plastic pipe; spec sheet: basevacdental.com/s/BV-01280002601Prod-Spec-Sheet-2M425.pdf",BaseVac Dental,1 system,BV-BVM2.jpg,,"dental vacuum, dry vacuum, oil-free suction, dental suction system, BaseVac, M-Vac, BVM2, 3 operatories, small clinic, rotary vane, built-in separator"
2030,"Low Voltage Control Box, 115/230V Input",Utility Room Equipment,Control Box,Low-voltage control box (115/230V input).,"DCI low-voltage control box with 115/230V input, used to switch utility-room air, water and vacuum equipment from operatory control panels.",115/230V input,DCI,Each,2030.jpg,,"control box, low voltage, utility room, air water vacuum, DCI, 2030"
2901,"Low Voltage Control Panel, Double Switch",Utility Room Equipment,Control Panel,Two-switch low-voltage control panel.,"DCI two-switch low-voltage control panel for remote on/off of air, water or vacuum. Fits a standard 2-gang electrical box, expandable to 4 switches, with 24V lighted rocker switches and custom labeling kit.",2 switches | fits 2-gang box | expandable to 4 | 24V lighted rocker | labeling kit,DCI,Each,2901.jpg,,"control panel, remote switch, double switch, air water vacuum, DCI, 2901"
2904,"Low Voltage Control Panel, Quad Switch",Utility Room Equipment,Control Panel,Four-switch low-voltage control panel.,"DCI four-switch low-voltage control panel for remote on/off of air, water or vacuum. Fits a standard 2-gang electrical box with 24V lighted rocker switches and custom labeling kit.",4 switches | fits 2-gang box | 24V lighted rocker | labeling kit,DCI,Each,2904.jpg,,"control panel, remote switch, quad switch, air water vacuum, DCI, 2904"
2900,"Low Voltage Control Panel, Single Switch",Utility Room Equipment,Control Panel,Single-switch low-voltage control panel.,"DCI single-switch low-voltage control panel for remote on/off of air, water or vacuum. Fits a standard 2-gang electrical box, expandable to 4 switches, with 24V lighted LED rocker switch and custom labeling kit.",1 switch | fits 2-gang box | expandable to 4 | 24V lighted LED rocker | labeling kit,DCI,Each,2900.jpg,,"control panel, remote switch, single switch, air water vacuum, DCI, 2900"
2902,"Low Voltage Control Panel, Triple Switch",Utility Room Equipment,Control Panel,Three-switch low-voltage control panel.,"DCI three-switch low-voltage control panel for remote on/off of air, water or vacuum. Fits a standard 2-gang electrical box, expandable to 4 switches, with 24V lighted rocker switches and custom labeling kit.",3 switches | fits 2-gang box | expandable to 4 | 24V lighted rocker | labeling kit,DCI,Each,2902.jpg,,"control panel, remote switch, triple switch, air water vacuum, DCI, 2902"
2969,Single Phase 3500 VA Buck & Boost Transformer,Utility Room Equipment,Transformer,"3,500 VA single-phase buck & boost transformer.","DCI single-phase 3,500 VA buck & boost transformer to correct line voltage for dental utility equipment. UL & CSA approved with front-accessible separate high- and low-voltage leads.","3,500 VA | 120/240V-12/24 | 50/60 Hz | UL & CSA | front-accessible HV/LV leads",DCI,Each,2969.jpg,,"buck boost transformer, voltage correction, 3500 VA, utility room, DCI, 2969"
2970,Single Phase 5000 VA Buck & Boost Transformer,Utility Room Equipment,Transformer,"5,000 VA single-phase buck & boost transformer.","DCI single-phase 5,000 VA buck & boost transformer to correct line voltage for dental utility equipment. UL & CSA approved with front-accessible separate high- and low-voltage leads.","5,000 VA | 120/240V-12/24 | 50/60 Hz | UL & CSA | front-accessible HV/LV leads",DCI,Each,2970.jpg,,"buck boost transformer, voltage correction, 5000 VA, utility room, DCI, 2970"
2971,Single Phase 7500 VA Buck & Boost Transformer,Utility Room Equipment,Transformer,"7,500 VA single-phase buck & boost transformer.","DCI single-phase 7,500 VA buck & boost transformer to correct line voltage for dental utility equipment. UL & CSA approved with front-accessible separate high- and low-voltage leads.","7,500 VA | 120/240V-12/24 | 50/60 Hz | UL & CSA | front-accessible HV/LV leads",DCI,Each,2971.jpg,,"buck boost transformer, voltage correction, 7500 VA, utility room, DCI, 2971"
2050,"Filter Housing, 3/4"", Black",Utility Room Equipment,Water Security Part,Water-security system component ,Small accessory in DCI's water-security (automatic water shut-off / leak-protection) system. ,,DCI,Each,2050.jpg,,"water security, water shut off, leak protection, DCI, 2050"
2303,"Gasket for Filter Housing, 1"", 1 1/4"", 1 1/2""",Utility Room Equipment,Water Security Part,Water-security system accessory,Small accessory in DCI's water-security (automatic water shut-off / leak-protection) system. ,,DCI,Each,2303.jpg,,"water security, water shut off, leak protection, DCI, 2303"
2073,"Housing Filter, 1 "", Black",Utility Room Equipment,Water Security Part,Water-security system component ,Small accessory in DCI's water-security (automatic water shut-off / leak-protection) system. ,,DCI,Each,2073.jpg,,"water security, water shut off, leak protection, DCI, 2073"
2075,"Solenoid Valve 1"" 120/60,110/50 AC",Utility Room Equipment,Water Security Part,Water-security system component,Small accessory in DCI's water-security (automatic water shut-off / leak-protection) system. ,,DCI,Each,2075.jpg,,"water security, water shut off, leak protection, DCI, 2075"
2052,"Solenoid, Normally Closed 3/4"", 120 Volt",Utility Room Equipment,Water Security Part,Water-security system component ,Small accessory in DCI's water-security (automatic water shut-off / leak-protection) system. ,,DCI,Each,2052.jpg,,"water security, water shut off, leak protection, DCI, 2052"
2051,"Water Filter Element, 2 1/2"" x 10"", 20 Micron, 3/4"" Housing; Pkg of 2",Utility Room Equipment,Water Security Part,Water-security system component,Small accessory in DCI's water-security (automatic water shut-off / leak-protection) system. ,,DCI,Each,2051.jpg,,"water security, water shut off, leak protection, DCI, 2051"
2076,"Water Filter Element, 4 1/2 x 10"", 20 Micron, 1"" to 1-1/2"" Housing; Pkg of 2",Utility Room Equipment,Water Security Part,Water-security system component,Small accessory in DCI's water-security (automatic water shut-off / leak-protection) system. ,,DCI,Each,2076.jpg,,"water security, water shut off, leak protection, DCI, 2076"
2395,"Water Security System, 1"", PEX, w/Filter and 24V Relay",Utility Room Equipment,Water Security Part,Water-security system component ,DCI water-security system for utlity room (automatic water shut-off / leak-protection) system.,,DCI,Each,2395.jpg,,"water security, water shut off, leak protection, DCI, 2395"
2396,"Water Security System, 3/4"", PEX, w/Filter and 24V Relay",Utility Room Equipment,Water Security Part,Water-security system component,DCI water-security system for utlity room (automatic water shut-off / leak-protection) system.,,DCI,Each,2396.jpg,,"water security, water shut off, leak protection, DCI, 2396"
2302,"asket for Filter Housing, 3/4""",Utility Room Equipment,Water Security Part,Water-security system accessory ,Small accessory in DCI's water-security (automatic water shut-off / leak-protection) system. ,,DCI,Each,2302.jpg,,"water security, water shut off, leak protection, DCI, 2302"
